"Restaurant.Name","Business.Address","GRADE","Postcode","Latitude","Longitude","CUISINE.DESCRIPTION","categories"
"SPIN","48 East 23rd Street, Manhattan, NY","A",10010,40.740599,-73.987359,"Café/Coffee/Tea","Dessert"
"Qing Dao Restaurant","40-46 Main Street, Queens, NY","B",11354,40.758477,-73.829611,"Chinese","Asian"
"Le Pain Quotidien Tribeca","81 West Broadway, Manhattan, NY","A",10007,40.71509,-74.009566,"Sandwiches/Salads/Mixed Buffet","Fast_food"
"Annapurna Thakali Kitchen Inc","72-24 Roosevelt Avenue, Queens, NY","B",11372,40.746655,-73.893181,"Asian","Asian"
"Little Atlas","6 west 4th street, Manhattan, NY","A",10012,40.728559,-73.99457,"American","Americas"
"NUM PANG KITCHEN","225 LIBERTY STREET, Manhattan, NY","A",10281,40.711537,-74.015673,"French","European"
"NUM PANG KITCHEN","225 LIBERTY STREET, Manhattan, NY","A",10281,40.711537,-74.015673,"Bakery","Dessert"
"Le Pain Quotidien 53rd street","7 E 53rd St, Manhattan, NY","A",10022,40.760222,-73.975342,"Sandwiches","Fast_food"
"Bilao Filipino Cuisine","1437 1st Ave, Manhattan, NY","A",10021,40.7696,-73.954703,"Soups & Sandwiches","Fast_food"
"Kame","330 8th AVE, Manhattan, NY","Z",10001,40.747511,-73.996864,"Pizza/Italian","Fast_food"
"Grab & Go Cafe","475 60th Street, Brooklyn, NY","A",11214,40.63991,-74.016867,"Sandwiches/Salads/Mixed Buffet","Fast_food"
"The Dip","58 St. Marks Pl., Manhattan, NY","A",10003,40.728157,-73.986654,"Sandwiches","Fast_food"
"Olympia Wine Bar","54 Jay Street, Brooklyn, NY","A",11201,40.703265,-73.986648,"American","Americas"
"Taszo","5 Edward M Morgan Place, Manhattan, NY","A",10032,40.834534,-73.9454,"Mexican","Americas"
"Sabor Andino","6314  14th Avenue , Brooklyn, NY","A",11219,40.625682,-73.998271,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Americas"
"Bayridge Sushi","6914  3rd Ave , Brooklyn, NY","A",11209,40.635524,-74.026136,"Japanese","Asian"
"Bar B","84 7th Avenue , Manhattan, NY","A",10011,40.739477,-73.999022,"Italian","European"
"La Ripaille","605 Hudson Street, Manhattan, NY","A",10014,40.737361,-74.005741,"French","European"
"THOMPSON DINER","32-44 Queens Blvd, Staten Island, NY","A",11101,40.744738,-73.932323,"American","Americas"
"Sushi Yu 2","827 West 181 Street, Manhattan, NY","B",10033,40.851282,-73.939596,"Chinese","Asian"
"Club Cumming","505 East 6th street, Manhattan, NY","A",10009,40.725305,-73.983538,"American","Americas"
"The Hairy Lemon","28-30 Avenue B, Manhattan, NY","A",10009,40.722373,-73.983196,"American","Americas"
"Beyond Sushi","215 Mulberry , Manhattan, NY","A",10012,40.722213,-73.996176,"Vegetarian","Vegetarian"
"M. Wells Steakhouse","43-15 Crescent Street, Queens, NY","A",11101,40.748674,-73.942323,"American","Americas"
"KOTOBUKI MANHATTAN","56 3 AVE, Manhattan, NY","A",10003,40.731028,-73.988844,"Japanese","Asian"
"Union Street Pizza","226 4th Ave, Brooklyn, NY","C",11215,40.677266,-73.983156,"Pizza","Fast_food"
"Norwinds","1043 Flushing ave, Brooklyn, NY","A",11237,40.703983,-73.930637,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Americas"
"JoJoï¿½s Philosophy","169 Bleeker st, Manhattan, NY","A",10012,40.728745,-74.000318,"American","Americas"
"Vida Verde","248 West 55th Street, Manhattan, NY","A",10019,40.765002,-73.982867,"Chicken","Others"
"canaan sushi","154  West 29th street, Manhattan, NY","A",10001,40.747294,-73.991595,"Japanese","Asian"
"Cabana","107-10  70th Road , Queens, NY","C",11375,40.721058,-73.845573,"Asian","Asian"
"Fat Buddha","212-210 Avenue A, Manhattan, NY","A",10009,40.729866,-73.98074,"Asian","Asian"
"Ole & Steen","873 Broadway, Manhattan, NY","A",10003,40.737901,-73.990109,"Café/Coffee/Tea","Dessert"
"1020 Bar","1020 Amsterdam Avenue, Manhattan, NY","A",10025,40.8031,-73.963782,"Italian","European"
"Parc Oasis Inc","6403 11th Ave , Brooklyn, NY","A",11219,40.629143,-74.005393,"Seafood","Seafood"
"Niles Restaurant","371  Seventh Avenue, Manhattan, NY","N",10001,40.748806,-73.992204,"Bakery","Dessert"
"POLLO CAMPERO","10326  ROOSEVELT AVENUE , Queens, NY","A",11368,40.749894,-73.862397,"Spanish","European"
"Las Palmas Restaurant II Inc","240  W 231st St, Bronx, NY","A",10463,40.879623,-73.906225,"Mexican","Americas"
"The Little Chinantla","96-06 43rd Ave, Queens, NY","A",11368,40.74569,-73.867762,"Mexican","Americas"
"Sabay LLC","7519 Broadway, Queens, NY","B",11373,40.746117,-73.890075,"Thai","Asian"
"Lao Shen Hotpot Corp","16034  Northern Blvd, Queens, NY","C",11358,40.762764,-73.80518,"Japanese","Asian"
"Yakitori nonono","118 Madison Avenue, Manhattan, NY","A",10016,40.745339,-73.984734,"Japanese","Asian"
"Da Raffaele","883 1st Ave, Manhattan, NY","A",10017,40.753525,-73.966426,"Italian","European"
"Khaluas Cafe","2117  3rd Avenue, Manhattan, NY","A",10029,40.797708,-73.940182,"Mexican","Americas"
"Emir Palace","4210 18th Ave, Brooklyn, NY","A",11218,40.631605,-73.975368,"Middle Eastern","Asian"
"CHRISTOPHERS PALACE INC","1258  MYRTLE AVE, Brooklyn, NY","A",11221,40.697896,-73.926979,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Americas"
"Queen of Tacos corporation","9  East Mosholu Pkwy North, Bronx, NY","B",10467,40.880083,-73.883597,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Americas"
"Friedmans","450  10th Avenue , Manhattan, NY","A",10019,40.755339,-73.998585,"American","Americas"
"Estelle Lounge","1824 Avenue U, Brooklyn, NY","A",11229,40.599171,-73.953245,"Japanese","Asian"
"Thai Son","89 Baxter Street, Manhattan, NY","A",10013,40.716904,-73.999697,"Vietnamese/Cambodian/Malaysia","Asian"
"Niche","172 Delancey Street, Manhattan, NY","A",10002,40.717598,-73.985354,"Japanese","Asian"
"Stone Creek Bar & Lounge","140 East 27th Street, Manhattan, NY","A",10016,40.741856,-73.982534,"American","Americas"
"128 Mac Corp","128 E 7th street, Manhattan, NY","A",10009,40.726216,-73.983945,"Greek","European"
"NEW ISTANBUL GRILL","310 West 14th Street, Manhattan, NY","A",10014,40.740119,-74.003414,"Turkish","Asian"
"Casa Mexicana","898 Amsterdam Avenue, Manhattan, NY","A",10025,40.799042,-73.966742,"Pizza","Fast_food"
"PASTAI","186  9TH AVE, Manhattan, NY","A",10011,40.745458,-74.002068,"Italian","European"
"California Sports Bar","82-18 Roosevelt Ave , Queens, NY","N",11372,40.747653,-73.883674,"Mexican","Americas"
"PINK MOOSE LLC","1070 First Avenue, Manhattan, NY","A",10022,40.759173,-73.962283,"American","Americas"
"Vezzo Thin Crust Pizza","130-132  East 31st Street, Manhattan, NY","A",10016,40.744619,-73.981414,"Pizza/Italian","Fast_food"
"The Hamilton","998  Amsterdam Avenue, Manhattan, NY","A",10025,40.802562,-73.964176,"American","Americas"
"Koto Sushi","263 Flatbush Avenue, Brooklyn, NY","A",11217,40.679943,-73.974445,"Japanese","Asian"
"the rock nyc","9203 rockaway beach blvd, Queens, NY","A",11693,40.586377,-73.815617,"Tapas","European"
"Piccola cucina osteria","196  spring street, Manhattan, NY","A",10012,40.72513,-74.003153,"Italian","European"
"Michaelangelo's Brick Oven Inc","2477 Arthur Ave, Bronx, NY","A",10458,40.857173,-73.886197,"Pizza/Italian","Fast_food"
"Samurai Papa BS","594 Lafayette Avenue, Brooklyn, NY","A",11216,40.689902,-73.951064,"Japanese","Asian"
"Patrick's Place","2835 Frederick Douglas Blvd, Manhattan, NY","A",10039,40.826725,-73.93909,"Seafood","Seafood"
"Stone Park Cafe","324 5th Ave, Brooklyn, NY","A",11215,40.672891,-73.983219,"American","Americas"
"The 13th Step","149 Second Ave, Manhattan, NY","B",10003,40.72937,-73.987123,"American","Americas"
"THEATER RESTAURANT BOULEVARD","8222 NORTHERN BLVD, Queens, NY","A",11372,40.755578,-73.885082,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Americas"
"Proto's Pizza","50 2nd Avenue, Manhattan, NY","A",10003,40.725391,-73.989992,"Pizza/Italian","Fast_food"
"HARBS","465 West Broadway, Manhattan, NY","A",10012,40.726379,-74.000372,"Bakery","Dessert"
"Sidecar","560 Fifth Avenue, Brooklyn, NY","A",11215,40.665269,-73.989572,"American","Americas"
"Clandestino","35 Canal Street, Manhattan, NY","A",10002,40.714645,-73.991018,"French","European"
"Thai Chella","712 9th Avenue, Manhattan, NY","A",10019,40.762599,-73.989589,"Thai","Asian"
"Spy C Cuisine Inc","72-06 Austin Street, Queens, NY","A",11357,40.719198,-73.842306,"Chinese","Asian"
"The Hop Shoppe","372  Van Duzer St , Staten Island, NY","A",10304,40.629143,-74.079557,"American","Americas"
"Girello","16  N Moore Street, Manhattan, NY","Z",10013,40.719797,-74.007074,"American","Americas"
"Le Marais","150 West 46 Street, Manhattan, NY","A",10036,40.757984,-73.983677,"Jewish/Kosher","European"
"Overlook","225  east 44th street, Manhattan, NY","A",10017,40.751768,-73.972779,"American","Americas"
"OHanlons","22-55 31st Street, Queens, NY","A",11105,40.774988,-73.912077,"Delicatessen","Others"
"Babbo Ristorante and Enoteca","110  Waverly Place, Manhattan, NY","A",10010,40.73247,-73.999152,"Italian","European"
"BarKogi","957 2nd Avenue, Manhattan, NY","A",10022,40.755316,-73.968215,"Asian","Asian"
"MeMe's Diner","657  Washington Ave, Brooklyn, NY","C",11238,40.677734,-73.963738,"American","Americas"
"Maiden Lane","162  Avenue B, Manhattan, NY","A",10009,40.727066,-73.979774,"American","Americas"
"TACOS MEXICO MEXICAN CUISINE","3208 38TH STREET, Queens, NY","A",11103,40.758998,-73.920097,"Mexican","Americas"
"La Contenta Oeste","78 West 11Street, Manhattan, NY","A",10011,40.734981,-73.997326,"Mexican","Americas"
"Meme Mediterranean","581 Hudson Street, Manhattan, NY","A",10014,40.736365,-74.005871,"Vegetarian","Vegetarian"
"Takeshi Sushi","28  Grand Street, Manhattan, NY","Z",10013,40.722841,-74.004719,"Japanese","Asian"
"MK KARAOKE","11  W 32ND ST, Manhattan, NY","A",10001,40.747414,-73.986091,"Chicken","Others"
"MK KARAOKE","11  W 32ND ST, Manhattan, NY","A",10001,40.747414,-73.986091,"Chinese/Cuban","Asian"
"Aug-00","232 Taaffe Pl, Brooklyn, NY","A",11205,40.691684,-73.959685,"Korean","Asian"
"HABANERO","1332 HALSEY STREET, Brooklyn, NY","A",11237,40.694705,-73.906391,"Mexican","Americas"
"Love and Dough","57  Pearl Street, Brooklyn, NY","A",11201,40.703056,-73.987582,"Pizza","Fast_food"
"Estelle Lounge","1824 Avenue U, Brooklyn, NY","A",11229,40.599171,-73.953245,"Japanese","Asian"
"La Coneja Juice Bar","176 E 174 st, Bronx, NY","A",10457,40.844803,-73.90897,"Bottled beverages, including water, sodas, juices, etc.","Dessert"
"AGAVE","140 7 AVENUE SOUTH , Manhattan, NY","A",10014,40.734734,-74.002176,"Mexican","Americas"
"Sonamu House","158-15 Northern Blvd, Queens, NY","A",11358,40.763428,-73.807106,"Korean","Asian"
"Scalinatella","201 East 61 Street, Manhattan, NY","A",10065,40.762671,-73.965327,"Italian","European"
"The Clam","420 Hudson Street, Manhattan, NY","A",10014,40.730436,-74.006808,"American","Americas"
"Yuba Restaurant","105 E 9th street, Manhattan, NY","A",10003,40.730463,-73.990244,"Japanese","Asian"
"Blanches Tavern","135 Avenue A, Manhattan, NY","A",10009,40.726938,-73.982906,"American","Americas"
"Keybar","432 East 13th Street, Manhattan, NY","A",10009,40.730295,-73.982237,"American","Americas"
"Koto Sushi","263 Flatbush Avenue, Brooklyn, NY","A",11217,40.679943,-73.974445,"Japanese","Asian"
"Quality Eats","1496  Second Avenue, Manhattan, NY","A",10075,40.772557,-73.955614,"American","Americas"
"MOMOYA","427 AMSTERDAM AVE, Manhattan, NY","A",10024,40.784099,-73.977619,"Japanese","Asian"
"Lynx II Lounge","104-07 Liberty Ave, Queens, NY","A",11417,40.682078,-73.836823,"Caribbean","Americas"
"Chibaola Inc.","152 2nd Ave., Manhattan, NY","A",10003,40.729477,-73.987018,"Chinese","Asian"
"1 quetzal corp","7210 new utrecht ave, Brooklyn, NY","A",11228,40.618057,-73.999316,"Mexican","Americas"
"Tï¿½pico Dominicano Restaurant","10310 39th ave, Queens, NY","A",11368,40.750718,-73.862901,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Americas"
"The Straliner","1446 myrtle ave, Brooklyn, NY","A",11237,40.698954,-73.916873,"American","Americas"
"Ootoya Chelsea","8 West 18th Street, Manhattan, NY","A",10011,40.738761,-73.992426,"Japanese","Asian"
"MITOUSHI","1221 QUENTIN RD, Brooklyn, NY","Z",11229,40.607985,-73.96069,"Japanese","Asian"
"matsu sushi","483 columbus ave, Manhattan, NY","A",10024,40.784727,-73.973444,"Japanese","Asian"
"Congee Village Restaurant & Bar of Flushing Inc.","133-53 37th Ave, Queens, NY","A",11354,40.760911,-73.832872,"Chinese","Asian"
"Nice Matin","201 West 79th Street, Manhattan, NY","A",10024,40.783251,-73.978555,"American","Americas"
"Grandstand Bar & Restaurant","85-35 Grand Avenue, Queens, NY","A",11373,40.735655,-73.880996,"Irish","European"
"JIA XIANG KITCHEN INC","802 56TH ST, Brooklyn, NY","A",11220,40.637531,-74.006849,"Chinese","Asian"
"Perfecto Ristorante","2470  Broadway , Manhattan, NY","A",10025,40.79183,-73.973828,"Pizza/Italian","Fast_food"
"BONDST","6 Bond street, Manhattan, NY","A",10012,40.72684,-73.994512,"Japanese","Asian"
"Brooklyn Crab","24 Reed Street, Brooklyn, NY","C",11231,40.675183,-74.016767,"Seafood","Seafood"
"Thai Market Inc.","960 Amsterdam Avenue, Manhattan, NY","A",10025,40.801209,-73.965156,"Thai","Asian"
"MAMA G AFRICAN KITCHEN II","1322A EAST GUN HILL RD , Bronx, NY","A",10469,40.871283,-73.847831,"Bakery","Dessert"
"MOLE","178  KENT AVENUE, Brooklyn, NY","A",11211,40.71876,-73.963409,"Mexican","Americas"
"Sophie's Bistro and Lounge","1904 Coney Island Ave, Brooklyn, NY","A",11230,40.611016,-73.962583,"Jewish/Kosher","European"
"Mcdonalds","2154 Nostrand ave , Brooklyn, NY","A",11210,40.632428,-73.947655,"Hamburgers","Fast_food"
"CAVALI","36-21  STEINWAY ST., Queens, NY","A",11101,40.753242,-73.92367,"Mexican","Americas"
"Banter Bar","132  Havemeyer Street, Brooklyn, NY","A",11211,40.712148,-73.957205,"American","Americas"
"Dinosaur BBQ","604 Union St, Brooklyn, NY","A",11215,40.677774,-73.984,"Barbecue","BBQ"
"ICON","3184 33RD ST, Queens, NY","A",11106,40.761816,-73.923321,"American","Americas"
"Cafe Cello","48 west 46th Street, Manhattan, NY","A",10036,40.756682,-73.980599,"American","Americas"
"Evergreen On 38","10 E 38th Street, Manhattan, NY","A",10016,40.750642,-73.98199,"Chinese","Asian"
"Bozu","296 Grand Street, Brooklyn, NY","Z",11211,40.712985,-73.957472,"Japanese","Asian"
"Margot Patisserie","2109 Broadway, Manhattan, NY","A",10023,40.780408,-73.982076,"Bakery","Dessert"
"Solo pizza inc.","27 Avenue B, Manhattan, NY","A",10009,40.722365,-73.983177,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Americas"
"Taqueria Chila Corp","86-28 Roosevelt Av, Queens, NY","A",11372,40.748128,-73.879151,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Americas"
"SingleCut Beersmiths","19-33 37th St, Queens, NY","A",11105,40.778586,-73.901706,"American","Americas"
"Grain House","929  Amsterdam ave, Manhattan, NY","A",10025,40.80012,-73.965933,"Chinese","Asian"
"Albatross","3619 24TH AVENUE, Queens, NY","A",11103,40.770391,-73.912682,"American","Americas"
"Crown Shy","70 Pine St, Manhattan, NY","A",10005,40.706315,-74.007895,"American","Americas"
"DTUT CAFE","1744  2ND AVE, Manhattan, NY","A",10128,40.780926,-73.94951,"American","Americas"
"Amura Japanese restaurant","1567  Second Avenue, Manhattan, NY","A",10028,40.774903,-73.953923,"Japanese","Asian"
"Copinette","891 1st Ave, Manhattan, NY","A",10022,40.753978,-73.966097,"Continental","Oceanian"
"two8two Bar & Burger","282 Atlantic Avenue, Brooklyn, NY","A",11201,40.688765,-73.98963,"American","Americas"
"LA PARRANDA","2712 WHITE PLAINS RD, Bronx, NY","A",10467,40.8657,-73.867339,"Caribbean","Americas"
"Ajihei","156 Knickerbocker Avenue, Brooklyn, NY","B",11237,40.704289,-73.928003,"Japanese","Asian"
"Good Judy","563 5th Avenue, Brooklyn, NY","A",11215,40.66533,-73.989496,"American","Americas"
"Claudette","24 Fifth Avenue, Manhattan, NY","A",10011,40.733011,-73.995811,"French","European"
"Sharlene's","353 Flatbush Avenue, Brooklyn, NY","A",11238,40.676924,-73.972262,"American","Americas"
"Concrete","906 Broadway, Brooklyn, NY","A",11206,40.697794,-73.936709,"American","Americas"
"The Gaf West","401  W 48th street, Manhattan, NY","A",10036,40.762423,-73.990286,"American","Americas"
"Sodam","156-50 Northern Blvd, Queens, NY","A",11354,40.763925,-73.808682,"Korean","Asian"
"Seaflower Fish Market","4127  Broadway, Manhattan, NY","B",10032,40.845767,-73.938592,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Americas"
"TOURNESOL RESTAURANT","5012 VERNON BLVD, Queens, NY","A",11101,40.74257,-73.954176,"French","European"
"Cream Ridgewood","59-09 71st ave, Queens, NY","Z",11385,40.700606,-73.89944,"American","Americas"
"Board and brush staten island","2965  veterans road west , Staten Island, NY","B",10309,40.52785,-74.233373,"Juice, Smoothies, Fruit Salads","Dessert"
"Bodrum Turkish Meditrranean Restaurant","584  AMSTERDAM AVE, Manhattan, NY","A",10024,40.78916,-73.973952,"Mediterranean","European"
"the brew inn","924 manhattan ave , Brooklyn, NY","A",11222,40.731031,-73.95409,"Polish","European"
"La Rioja Restaurant","33-05 Broadway, Queens, NY","A",11106,40.761166,-73.923639,"Spanish","European"
"Mo's Bar and Lounge","80 Lafayette ave, Brooklyn, NY","A",11217,40.687168,-73.97476,"Mexican","Americas"
"Amaze43 Corp","694 3rd Avenue , Manhattan, NY","A",10017,40.751856,-73.973667,"Asian","Asian"
"Jing Wei Hotpot inc","706 60th Street, Brooklyn, NY","A",11220,40.636562,-74.011342,"Chinese","Asian"
"The Juicy Box bar","2281  nostrand ave, Brooklyn, NY","A",11210,40.62881,-73.947247,"Juice, Smoothies, Fruit Salads","Dessert"
"ESTRELLA LATINA","3907 104TH STREET, Queens, NY","A",11368,40.750525,-73.862024,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Americas"
"EL COFRE","454  MYRTLE AVE, Brooklyn, NY","A",11205,40.693284,-73.967293,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Americas"
"Rab's Country Lanes","1600 Hylan Boulevard, Staten Island, NY","A",10305,40.589514,-74.089443,"American","Americas"
"J.Bespoke","121 E 27th St. , Manhattan, NY","A",10016,40.742281,-73.983497,"Irish","European"
"karaoke City","22 west 32nd street, Manhattan, NY","A",10001,40.747634,-73.986654,"Other","Others"
"L'Wren","4004 5th ave, Brooklyn, NY","A",11232,40.650613,-74.004602,"American","Americas"
"Miss Lily's 7A","109 Avenue A, Manhattan, NY","A",10009,40.725969,-73.98361,"Vegetarian","Vegetarian"
"Dae Bach Sik Dang","146-06 34th ave, Queens, NY","B",11354,40.767249,-73.820874,"Korean","Asian"
"Tilt Lounge Corp","13115  Jamaica Avenue, Queens, NY","A",11418,40.702116,-73.82057,"Bottled beverages, including water, sodas, juices, etc.","Dessert"
"Golden Arrow Bar&Lounge","107-14 101 AVE, Queens, NY","A",11419,40.687201,-73.835649,"Caribbean","Americas"
"Copper & Oak","157 Allen St, Manhattan, NY","A",10002,40.720928,-73.989502,"American","Americas"
"Flatbush Zombie House","734 Flatbush Avenue, Brooklyn, NY","A",11226,40.655115,-73.959765,"American","Americas"
"Flatbush Zombie House","734 Flatbush Avenue, Brooklyn, NY","A",11226,40.655115,-73.959765,"Juice, Smoothies, Fruit Salads","Dessert"
"Cafe Bilboquet","26 East 60th Street, Manhattan, NY","A",10022,40.764069,-73.97063,"French","European"
"Bobï¿½s Your Uncle","929  Columbus Ave, Manhattan, NY","A",10025,40.798922,-73.963084,"Other","Others"
"JAC RESTAURANT CORP","75-16  Roosevelt Avenue, Queens, NY","A",11372,40.746959,-73.890254,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Americas"
"EL CASTILLO DE JAGUA RAMIREZ CORP","679  FLATBUSH AVE., Brooklyn, NY","A",11225,40.656625,-73.960095,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Americas"
"Lovely Day","196  Elizabeth St, Manhattan, NY","A",10012,40.721848,-73.994484,"Thai","Asian"
"Trattoria Tra Di Noi","622 East 187th Street, Bronx, NY","A",10458,40.855128,-73.886743,"Bakery","Dessert"
"Kettle of Fish","57-59  Christopher Street, Manhattan, NY","A",10014,40.733713,-74.002241,"Mexican","Americas"
"5 Star Banquet","1305  43rd Avenue, Queens, NY","A",11101,40.750995,-73.946331,"Not Listed/Not Applicable","Others"
"Solo pizza","27 Avenue B, Manhattan, NY","A",10009,40.722365,-73.983177,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Americas"
"Minca","536 East 5th Street, Manhattan, NY","Z",10009,40.724457,-73.983462,"Japanese","Asian"
"Los Cuencanitos Restaurant","54-18 Roosevelt Avenue , Queens, NY","A",11377,40.7448,-73.910272,"Irish","European"
"BORINQUENYA DELI RESTAURANT","5505  4th avenue, Brooklyn, NY","A",11220,40.643566,-74.015585,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Americas"
"ZZ's Clam Bar","169  Thompson St, Manhattan, NY","A",10012,40.727656,-74.000336,"American","Americas"
"House of Hookah","3907 Bell Blvd, Queens, NY","A",11361,40.76512,-73.771777,"American","Americas"
"Dalongyi Hot Pot","40-44 elizabeth street, Manhattan, NY","A",10013,40.716803,-73.996811,"Chinese","Asian"
"Brioso Ristorante","174  New Dorp Lane, Staten Island, NY","A",10306,40.573243,-74.114979,"Italian","European"
